entity_uid,address_uid,address1,address2,address3,city,state_province,postal_code,country
2686,37108,,,,,,,Lebanon
4632,2898,"PO Box 15875/7177, 144 Mirdamad Blvd",,,Tehran,,,Iran
4632,16811,213 Ferdowsi Avenue,,,Tehran,,11365,Iran
4632,41726,"Mirdamad Blvd, 144 - P.O. Box 15875/7/77",,,Tehran,,,Iran
10411,14239,"P.O. Box 110 24, Bir al-Abed",,,Beirut,,,Lebanon
10411,14240,Biqa' Valley,,,,,,Lebanon
11462,17029,,,,,,,Iraq
11462,17030,,,,Najaf,,,Iraq
13423,22996,,,,Beirut,,,Lebanon
16452,26947,"Flat 4, Blantyre Street",Behind Amigo Supermarket,Wuse II,Abuja,,,Nigeria
16452,26948,3 Gaya Road,,,Kano,,,Nigeria
18222,27543,"Hadeth Kafaat, Hadi Nasrallah Highway",,,Baabda,,,Lebanon
18348,50187,,,,,,,Syria
18348,50188,,,,,,,Lebanon
18349,27846,Harat Hurayk,,,,,,Lebanon
18349,27847,Ozai,,,,,,Lebanon
18349,27848,Al-Firdaws Building,Al-'Arid Street,Haret Hreik,,,,Lebanon
18349,47421,,,,Damascus,,,Syria
18930,28777,"Suite 15A, Mingshang GE Shenganghao Yuan Building, Bao An Nan Road",Luohu District,,Shenzhen,Guangdong,,China
18930,28778,"1/F, Bei Fang Building, Shennan Zhong Road",,,Shenzhen,Guangdong,,China
18930,28779,"Flat/Room 1610, Nan Fung Tower, 173 Des Voeux Road Central",,,,,,Hong Kong
18930,28780,"Cherri Building, Main Street",Beer Al Salasel,,Kherbet Selem,Nabatieh,,Lebanon
19274,29378,Ghobeiry Center,Mcharrafieh,,Beirut,,,Lebanon
19274,29379,"Verdun 732 Center, 17th Floor",Verdun,Rachid Karameh Street,Beirut,,,Lebanon
19274,29380,"Al-Ahlam, 4th Floor",Embassies Street,Bir Hassan,Beirut,,,Lebanon
20560,31170,Center Mzannar,"Main Street, Second Floor",,Baabda,,,Lebanon
20560,31171,Airport Road,,,Beirut,,,Lebanon
20560,31172,"Street 21, Section 929",Al Karrada Area,,Baghdad,,,Iraq
23685,35908,House Number 5,Akhunabad,Shaheen Muslim Town,Peshawar,,,Pakistan
23685,35909,House Number 5,Akhunabad,Chok Yadagr Branch,Peshawar,,,Pakistan
23685,35910,Matin,Darah-ye Pech District,,,Kunar Province,,Afghanistan
24389,36841,Adnan Al-Hakim Street,Yahala Bldg.,,Jnah,,,Lebanon
24389,36842,"Eglantierlaan 13-15, 2020",,,Antwerpen,,,Belgium
24389,37109,Villa Bazzi,Dohat Al-Hoss,,,,,Lebanon
24514,37014,,,,,,,Lebanon
24519,37016,,,,,,,Lebanon
24520,37029,,,,,,,Lebanon
24528,37036,,,,,,,Lebanon
24544,37059,,,,,,,Syria
24588,37179,,,,,,,Iran
24589,37181,,,,,,,Iran
24590,37183,,,,,,,Iran
24591,37185,,,,,,,Iran
26057,39467,,,,,,,Iraq
26058,39457,,,,Al Zahrani,,,Lebanon
26059,39459,,,,Al Zahrani,,,Lebanon
26059,39460,,,,Najaf,,,Iraq
26060,39466,,,,,,,Iraq
26120,39578,71 Linton Road,Acton,,London,,W3 9HL,United Kingdom
26120,39582,,,,,,,Syria
26446,40096,,,,,,,Iraq
26446,40097,,,,,,,Syria
26955,41030,,,,Beirut,,,Lebanon
26956,41031,,,,Beirut,,,Lebanon
26957,41032,,,,,,,Lebanon
27039,41099,,,,,,,Lebanon
27189,41293,JTB Tower,Elias Hraoui Avenue,,Beirut,,,Lebanon
27189,41294,Jammal Trust Bank SAL Building,Rashid Karame Ave,,Beirut,,,Lebanon
27189,41295,PO Box 11-5640 & 13-5750,Bank's Bldg,Rashid Karameh Ave,Beirut,,,Lebanon
27189,41296,SCI La Balance,Boulevard Giscard D'estaing,,Abidjan,,,Cote d Ivoire
27189,41297,15A Burma Road,,,Apapa,Lagos State,,Nigeria
27189,41298,3rd Floor,Berkeley Court,6/7 Pollen St,London,,W1S 1ND,United Kingdom
27189,41299,,,,Al-Buss,,,Lebanon
27189,41301,,,,Al Furzol,,,Lebanon
27189,41302,,,,Baalbeck,,,Lebanon
27189,41303,,,,Beirut,,,Lebanon
27189,41304,,,,Bint Jbeil,,,Lebanon
27189,41305,,,,Bourj El Barajneh,,,Lebanon
27189,41306,,,,Dora,,,Lebanon
27189,41307,,,,Ghazieh,,,Lebanon
27189,41308,,,,Jbeil,,,Lebanon
27189,41309,,,,Jwaya,,,Lebanon
27189,41310,,,,Kana,,,Lebanon
27189,41311,,,,Labwe,,,Lebanon
27189,41312,,,,Marjeyoun,,,Lebanon
27189,41313,,,,Nabatieh,,,Lebanon
27189,41314,,,,Saida,,,Lebanon
27189,41315,,,,Tibnin,,,Lebanon
27189,41316,,,,Tripoli,,,Lebanon
27189,41317,,,,Tyre,,,Lebanon
27189,41318,,,,Verdun,,,Lebanon
